"jstor-40670146","A New Astronomical Periodical (Popular Astronomy)","Publications of the Astronomical Society of the Pacific","JSTOR","1893-11-25"
"jstor-40711176","ABSTRACTS FROM ASTRONOMICAL PUBLICATIONS","Publications of the Astronomical Society of the Pacific","JSTOR","1911-06-01"
"jstor-3623961","An Astronomical Lantern","Transactions of the Annual Meetings of the Kansas Academy of Science","JSTOR","1891-01-01"
"jstor-1635685","An Astronomical Expedition to Argentina","Science","JSTOR","1908-08-21"
"jstor-1625523","Section A. Mathematics and Astronomy","Science","JSTOR","1895-09-27"
"jstor-1636716","The Astronomical and Astrophysical Society of America: Washington Meeting, December, 1911","Science","JSTOR","1912-05-03"
"jstor-40693113","Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, held in the Rooms of the Society, 748 Phelan Building, San Francisco, on March 30, 1912, at 7:30 p. m.","Publications of the Astronomical Society of the Pacific","JSTOR","1912-04-01"
"jstor-40710326","INTERNATIONAL MEETINGS OF ASTRONOMERS IN GERMANY","Publications of the Astronomical Society of the Pacific","JSTOR","1913-10-01"
"jstor-40710180","Addendum to Minutes of the Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society, 748 Phelan Building, San Francisco, At 2:00 p.m., November 26, 1910.","Publications of the Astronomical Society of the Pacific","JSTOR","1911-02-01"
"jstor-40693047","Minutes of the Meeting of the Newly Elected Board of Directors of the Astronomical Society of the Pacific, in the Assembly Hall of the Chamber of Commerce, San Francisco, Cal., on the Evening of March 26, 1910","Publications of the Astronomical Society of the Pacific","JSTOR","1910-04-01"
"jstor-2900739","Astronomy","Science","JSTOR","1880-07-03"
"jstor-1631918","Astronomical Notes","Science","JSTOR","1906-11-02"
"jstor-40710475","Addendum to the Minutes of the Special Meeting of the Board of Directors of the Astronomical Society of the Pacific, Held in the Rooms of the Society on November 28, 1914, at 2:00 p. m., to Consider the Award of the Bruce Gold Medal for the Year 1915","Publications of the Astronomical Society of the Pacific","JSTOR","1915-02-01"
"jstor-1624960","Aspects of American Astronomy","Science","JSTOR","1897-11-12"
